Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
Afghanistan, Islamic Rep. of;AF;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;1.0;;1.0;4.0;2.0;3.0;;3.0;1.0;3.0;2.0;2.0;1.0;2.0;5.0;8.0;2.0;10.0;12.0;7.0;3.0;4.0;4.0;4.0;10.0;5.0;3.0;5.0;4.0;5.0;5.0;7.0;7.0;4.0;6.0
Albania;AL;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;1.0;;;1.0;;;2.0;;1.0;;;;;2.0;;2.0;2.0;;2.0;;1.0;1.0;;1.0;;;3.0;1.0;2.0;1.0;;;1.0;
Algeria;DZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;1.0;1.0;;;1.0;;;;1.0;2.0;3.0;;1.0;1.0;;1.0;5.0;1.0;3.0;5.0;2.0;3.0;1.0;7.0;1.0;2.0;;1.0;2.0;;;2.0;;1.0;1.0;1.0;;3.0;1.0
American Samoa;AS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;1.0;1.0;1.0;;;;;;;;;;;;;;;;;
Angola;AO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;2.0;;;;;;;;1.0;;;5.0;3.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;3.0;3.0;4.0;1.0;1.0;;3.0;4.0;2.0;1.0;3.0;3.0;2.0;
Anguilla;AI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;1.0;;;;;
Antigua and Barbuda;AG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;1.0;;;;;1.0;;;1.0;2.0;;;;;;;;;1.0;;1.0;;;;;;;1.0;;;;;
Argentina;AR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;;1.0;2.0;1.0;2.0;2.0;3.0;1.0;;1.0;;2.0;4.0;1.0;4.0;;1.0;2.0;1.0;8.0;7.0;3.0;4.0;3.0;1.0;1.0;3.0;1.0;5.0;1.0;;3.0;2.0;4.0;4.0;2.0;4.0;5.0;4.0;2.0;2.0;1.0
Armenia, Rep. of;AM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;;;1.0;;;;;;;;;2.0;;;1.0;;1.0;1.0;1.0;;
Australia;AU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;2.0;3.0;1.0;1.0;3.0;4.0;;3.0;3.0;4.0;3.0;3.0;4.0;8.0;5.0;9.0;4.0;6.0;5.0;5.0;9.0;5.0;10.0;6.0;4.0;8.0;2.0;5.0;6.0;8.0;3.0;2.0;3.0;4.0;8.0;3.0;3.0;3.0;3.0;3.0;7.0;5.0
Austria;AT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;2.0;1.0;2.0;1.0;;;;;5.0;2.0;;1.0;1.0;1.0;1.0;1.0;;2.0;2.0;;3.0;1.0;;3.0;1.0;2.0;1.0;4.0;;;1.0;1.0;;;1.0;2.0;;2.0;;1.0;1.0
Azerbaijan, Rep. of;AZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;1.0;;;2.0;;;1.0;;;;;;1.0;1.0;;1.0;;;;;;;;;;
Azores Island;;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;
Bahamas, The;BS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;;;1.0;;;;1.0;;1.0;;;3.0;1.0;;1.0;2.0;;;1.0;1.0;1.0;;1.0;1.0;1.0;;1.0;;;
Bangladesh;BD;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;3.0;2.0;8.0;1.0;5.0;6.0;3.0;6.0;6.0;8.0;6.0;5.0;11.0;9.0;9.0;7.0;7.0;7.0;11.0;11.0;7.0;6.0;7.0;7.0;12.0;7.0;5.0;5.0;6.0;6.0;5.0;5.0;3.0;4.0;7.0;3.0;5.0;4.0;6.0;2.0;2.0;2.0
Barbados;BB;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;1.0;;;;;;;;1.0;;;;;;;1.0;;1.0;;;;;;2.0;;;;;;;1.0;;;;1.0;
Belarus, Rep. of;BY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;1.0;1.0;;1.0;1.0;;;;;1.0;;1.0;;;;;1.0;1.0;1.0;;;1.0;1.0;;;;
Belgium;BE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;;;;6.0;;;2.0;1.0;1.0;;;2.0;2.0;;;5.0;2.0;;3.0;1.0;1.0;2.0;;3.0;2.0;1.0;2.0;1.0;1.0;2.0;;2.0;3.0;2.0;3.0;1.0
Belize;BZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;1.0;;;1.0;;1.0;2.0;;;;2.0;;1.0;2.0;;1.0;;;;;1.0;1.0;;;;1.0;;1.0
Benin;BJ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;1.0;;;1.0;;;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;1.0;1.0;3.0;1.0;1.0;1.0;2.0;;;;;;;1.0;1.0;1.0
Bermuda;BM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;1.0;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;
Bhutan;BT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;1.0;1.0;;;;1.0;;;;;1.0;;;;;;;;;;;;1.0;
Bolivia;BO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;1.0;3.0;1.0;1.0;1.0;1.0;1.0;;1.0;;3.0;;2.0;;1.0;2.0;1.0;2.0;4.0;2.0;3.0;4.0;1.0;1.0;2.0;3.0;2.0;1.0;4.0;2.0;1.0;5.0;4.0;1.0;3.0;;1.0;4.0;3.0;7.0;1.0
Bosnia and Herzegovina;BA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;1.0;;1.0;2.0;2.0;;1.0;;3.0;3.0;;1.0;;4.0;1.0;;;;2.0;1.0;1.0;1.0
Botswana;BW;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;;1.0;;;;;1.0;;;;;1.0;;;;1.0;;;;;3.0;;1.0;;1.0;;1.0;;1.0;1.0;1.0;;;
Brazil;BR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;3.0;2.0;1.0;4.0;6.0;4.0;1.0;3.0;5.0;8.0;2.0;2.0;5.0;;3.0;5.0;4.0;4.0;8.0;3.0;6.0;5.0;5.0;5.0;5.0;4.0;2.0;5.0;5.0;9.0;5.0;8.0;3.0;6.0;5.0;6.0;2.0;1.0;3.0;8.0;7.0;9.0;12.0
British Virgin Islands;VG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;2.0;;;;;
Brunei Darussalam;BN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
Bulgaria;BG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;1.0;;;;1.0;1.0;1.0;4.0;2.0;1.0;;;7.0;2.0;6.0;1.0;;2.0;;3.0;;5.0;1.0;;;1.0;;;2.0;1.0
Burkina Faso;BF;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;1.0;;;2.0;;1.0;;;;1.0;1.0;;;1.0;1.0;;1.0;;1.0;;;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;4.0;;1.0
Burundi;BI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;2.0;1.0;;2.0;1.0;3.0;2.0;7.0;2.0;3.0;2.0;4.0;2.0;;;1.0;2.0;;1.0;3.0;3.0;3.0;1.0;
Cabo Verde;CV;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;;;;;;;;1.0;;;;;;1.0;;;;1.0;;;;;;;1.0;;;;;;1.0;;1.0;;;1.0;;1.0
Cambodia;KH;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;2.0;;1.0;1.0;;2.0;1.0;2.0;2.0;;1.0;2.0;2.0;1.0;;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;;1.0;1.0;2.0;4.0;2.0
Cameroon;CM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;1.0;;;1.0;;;;;1.0;1.0;2.0;;1.0;;2.0;;1.0;1.0;;1.0;;3.0;1.0;1.0;1.0;;1.0;;1.0;1.0;;4.0
Canada;CA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;2.0;4.0;3.0;2.0;2.0;1.0;1.0;2.0;1.0;3.0;4.0;2.0;3.0;3.0;3.0;1.0;2.0;2.0;7.0;4.0;5.0;5.0;3.0;2.0;3.0;1.0;4.0;3.0;3.0;2.0;1.0;2.0;3.0;4.0;2.0;2.0;4.0;6.0
Canary Island;;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;1.0;;1.0;1.0;;1.0;;;;;;;;;;;;;;;
Cayman Islands;KY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;2.0;;;;2.0;;;;;;;;;;;;;;
Central African Rep.;CF;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;2.0;1.0;;1.0;2.0;;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;3.0;1.0;2.0;2.0;2.0;;1.0;;2.0;;1.0;;1.0;3.0
Chad;TD;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;2.0;;;1.0;;1.0;;1.0;;1.0;1.0;1.0;;2.0;;;;;1.0;3.0;2.0;3.0;1.0;;3.0;;;;;1.0;;2.0;2.0;1.0;2.0
Chile;CL;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;;2.0;;2.0;3.0;;1.0;1.0;2.0;3.0;2.0;;2.0;;4.0;;1.0;3.0;4.0;5.0;1.0;2.0;3.0;1.0;1.0;2.0;;1.0;3.0;2.0;1.0;2.0;4.0;1.0;5.0;;2.0;;2.0;2.0
China, P.R.: Hong Kong;HK;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;1.0;4.0;4.0;;3.0;2.0;2.0;1.0;3.0;;1.0;3.0;7.0;1.0;;;2.0;;1.0;;;;2.0;;1.0;;;3.0;1.0;1.0;;;;;;;2.0;1.0;;;2.0;
China, P.R.: Macao;MO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;
China, P.R.: Mainland;CN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;5.0;7.0;6.0;7.0;5.0;12.0;10.0;12.0;15.0;9.0;14.0;10.0;16.0;16.0;15.0;12.0;16.0;17.0;11.0;18.0;24.0;27.0;24.0;16.0;18.0;28.0;30.0;18.0;23.0;24.0;21.0;13.0;22.0;34.0;33.0;31.0;30.0;26.0;20.0;13.0;11.0;12.0;7.0
Colombia;CO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;2.0;2.0;1.0;1.0;;5.0;3.0;2.0;1.0;4.0;4.0;;4.0;3.0;2.0;3.0;1.0;2.0;6.0;3.0;6.0;5.0;4.0;2.0;4.0;1.0;4.0;3.0;3.0;6.0;3.0;3.0;1.0;5.0;4.0;2.0;7.0;2.0;6.0;6.0;11.0;14.0
Comoros, Union of the;KM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;1.0;;1.0;;1.0;;;;;;;;;;;;;;1.0;;;;;;1.0;;;1.0;;1.0;;;;;2.0;;;
Congo, Dem. Rep. of the;CD;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;1.0;;;;1.0;;;1.0;;1.0;;3.0;1.0;4.0;;1.0;4.0;1.0;2.0;2.0;4.0;2.0;1.0;;2.0;4.0;2.0;2.0;1.0;3.0;6.0;;5.0
Congo, Rep. of;CG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;1.0;;;;1.0;1.0;;;1.0;;;1.0;1.0;1.0;;;;;2.0;;;;;;;2.0;2.0;1.0;1.0
Cook Islands;CK;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;1.0;;;1.0;;;;;;;1.0;;;;1.0;;;;1.0;;;;;1.0;;;;;;;;;;;;
Costa Rica;CR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;2.0;;;1.0;1.0;1.0;2.0;1.0;3.0;;2.0;1.0;1.0;1.0;2.0;1.0;2.0;3.0;;2.0;4.0;;2.0;1.0;1.0;;1.0;1.0;1.0;1.0;2.0;;1.0;1.0;1.0
Côte d'Ivoire;CI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;1.0;;;;;;;1.0;;;;;;;;;;;1.0;1.0;1.0;2.0;;;;2.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0
Croatia, Rep. of;HR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;3.0;1.0;;3.0;;3.0;1.0;2.0;;;3.0;;3.0;;2.0;1.0;;2.0;1.0;1.0;;;1.0
Cuba;CU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;;2.0;2.0;1.0;3.0;;2.0;;1.0;4.0;2.0;3.0;3.0;1.0;2.0;2.0;2.0;1.0;3.0;1.0;3.0;2.0;2.0;3.0;5.0;;;;3.0;1.0;;2.0;1.0;1.0;2.0;1.0;2.0;2.0;3.0
Cyprus;CY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;1.0;;;;;;;1.0;;3.0;;;1.0;1.0;;;1.0;;;;;;;;;;;;;;1.0;
Czech Rep.;CZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;;1.0;;3.0;1.0;;3.0;2.0;1.0;1.0;2.0;4.0;;2.0;1.0;;;;1.0;1.0;;1.0;3.0;2.0
Denmark;DK;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;1.0;;;;;3.0;;1.0;;;;;;;1.0;;;1.0;;;1.0;;1.0;;;1.0;;;2.0;;;;;;;;;1.0
Djibouti;DJ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;;;;1.0;1.0;;;;1.0;1.0;1.0;1.0;;;1.0;;;;;1.0;1.0;;1.0;1.0;;1.0;;;;;;;;1.0;1.0;1.0;;1.0
Dominica;DM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;;;1.0;;;;;;2.0;;;;1.0;;;;;;;;1.0;;;;1.0;;;;1.0;;1.0;;;;;
Dominican Rep.;DO;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;1.0;1.0;1.0;1.0;1.0;;1.0;;2.0;;2.0;2.0;;1.0;;;1.0;1.0;3.0;4.0;3.0;;5.0;3.0;2.0;3.0;3.0;4.0;1.0;1.0;3.0;3.0;3.0;2.0;;2.0;2.0;3.0
Ecuador;EC;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;1.0;;2.0;;1.0;;;1.0;3.0;1.0;;;3.0;;;3.0;2.0;2.0;1.0;;;1.0;;1.0;2.0;2.0;2.0;2.0;4.0;;1.0;2.0;;;2.0;1.0;2.0;5.0
Egypt, Arab Rep. of;EG;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;1.0;;;1.0;2.0;2.0;2.0;;;1.0;;2.0;;1.0;;;;;;3.0;;;;;3.0;1.0;;;;1.0;1.0;
El Salvador;SV;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;2.0;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;;;4.0;1.0;2.0;2.0;2.0;3.0;1.0;;;1.0;2.0;;1.0;2.0;;4.0;1.0;2.0
Eritrea, The State of;ER;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;1.0;;;;1.0;1.0;;;;1.0;;;;;;;;;;;;;;
Estonia, Rep. of;EE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;1.0;;;;;;1.0;;;;
Eswatini, Kingdom of;SZ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;;2.0;;;;;;1.0;;;;;;;;;;1.0;1.0;;;;1.0;1.0;2.0;1.0;;;;;;1.0;;1.0;;;1.0;;1.0;1.0
Ethiopia, The Federal Dem. Rep. of;ET;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;2.0;;1.0;2.0;1.0;1.0;;;2.0;2.0;1.0;2.0;3.0;1.0;7.0;4.0;3.0;1.0;2.0;;5.0;7.0;2.0;4.0;1.0;3.0;2.0;;1.0;;2.0;2.0;;2.0;2.0;4.0;2.0;2.0
Fiji, Rep. of;FJ;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;3.0;;3.0;2.0;1.0;;1.0;1.0;;1.0;1.0;;;;1.0;1.0;1.0;1.0;1.0;;1.0;2.0;;2.0;4.0;1.0;2.0;1.0;;3.0;;;1.0;2.0;;2.0;1.0;3.0;1.0;1.0
Finland;FI;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;
France;FR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;6.0;8.0;5.0;3.0;1.0;2.0;1.0;2.0;10.0;3.0;3.0;3.0;3.0;1.0;3.0;3.0;2.0;8.0;7.0;7.0;5.0;6.0;1.0;5.0;3.0;3.0;4.0;4.0;4.0;2.0;1.0;3.0;7.0;3.0;1.0;3.0;7.0;9.0;7.0;9.0;6.0
French Polynesia;PF;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;1.0;;;;;;;;;;;2.0;;;;;;;;;;;;1.0;;;;;;;1.0;;;;;
Gabon;GA;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;1.0;2.0;;1.0;;;;;;;;;;
Gambia, The;GM;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;1.0;;;1.0;;1.0;1.0;1.0;1.0;;;1.0;2.0;2.0;2.0;;1.0;1.0;;1.0;;1.0;;1.0;;1.0;1.0
Georgia;GE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;3.0;;;1.0;1.0;;;2.0;1.0;1.0;;;;;1.0;2.0;3.0;1.0;1.0;;;1.0;1.0;1.0;1.0;1.0
Germany;DE;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;1.0;1.0;3.0;4.0;2.0;1.0;2.0;1.0;4.0;;1.0;4.0;3.0;1.0;5.0;5.0;3.0;3.0;3.0;4.0;1.0;2.0;4.0;2.0;;1.0;3.0;2.0;3.0;1.0;3.0;4.0
Germany Dem Rep (former);;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;2.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany Fed Rep (former);;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;1.0;;;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ghana;GH;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;1.0;;1.0;;;;1.0;;;;1.0;;1.0;2.0;;;;;1.0;1.0;2.0;2.0;2.0;;1.0;;1.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0
Greece;GR;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;2.0;2.0;;3.0;1.0;;2.0;1.0;;;1.0;1.0;;1.0;2.0;;5.0;2.0;5.0;3.0;2.0;;3.0;4.0;;2.0;1.0;;2.0;;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;1.0
Grenada;GD;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;1.0;;;;;;;;;1.0;;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;
Guam;GU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;1.0;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;
Guatemala;GT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;3.0;1.0;1.0;;;;;2.0;1.0;1.0;;2.0;1.0;2.0;3.0;3.0;2.0;;4.0;1.0;3.0;4.0;2.0;5.0;6.0;1.0;;4.0;3.0;2.0;6.0;3.0;2.0;5.0;3.0;2.0
Guinea;GN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;;;;;;1.0;;;;;1.0;;1.0;1.0;;;1.0;;1.0;1.0;1.0;1.0;2.0;1.0;;1.0;;2.0;;1.0;;;1.0;1.0;1.0
Guinea-Bissau;GW;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;1.0;;;;;;1.0;;;;;1.0;;;;1.0;1.0;1.0;;1.0;;1.0;;1.0;;;;;;;;1.0;;;;
Guyana;GY;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;;;;;;1.0;1.0;;;;;;;;1.0;1.0;;1.0;;1.0;;;;;1.0;;1.0;;;;1.0;1.0
Haiti;HT;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;2.0;;;;;;2.0;4.0;5.0;3.0;1.0;;1.0;2.0;1.0;;4.0;;1.0;1.0;2.0;2.0;2.0;5.0;3.0;8.0;3.0;7.0;4.0;3.0;5.0;4.0;5.0;1.0;2.0;2.0;8.0;5.0;;2.0;1.0;3.0;2.0
Honduras;HN;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;1.0;1.0;;1.0;;1.0;;3.0;;1.0;;;2.0;3.0;2.0;3.0;1.0;1.0;1.0;2.0;2.0;4.0;2.0;1.0;5.0;1.0;3.0;2.0;1.0;4.0;1.0;1.0;;3.0;;2.0;4.0;2.0;;4.0;1.0;3.0
Hungary;HU;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;1.0;;;;1.0;1.0;;3.0;1.0;2.0;1.0;2.0;1.0;4.0;2.0;1.0;1.0;;1.0;;1.0;2.0;1.0;;1.0;1.0;1.0;1.0;;;
Iceland;IS;Climate related disasters frequency, Number of Disasters: TOTAL;Number of;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;1.0;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;
